priority,target,status,module,theorem,evidence,notes
1,RU1,PROVED,LeanMasterReferenceUncertaintyV1,RU1_expectation_reference_error,Lean,"Rowwise TV controls each complement expectation by osc(H)*epsilon"
1,RU2,PROVED,LeanMasterReferenceUncertaintyV1,RU2_chi_reference_error;RU2_factor_two_sharp_witness,Lean+exact witness,"Factor 2 is attained on Fin 2 x Fin 2"
1,RU3,PROVED,LeanMasterReferenceUncertaintyV1,RU3_primitive_score_reference_interval,Lean,"Computable chi-hat plus kernel uncertainty interval"
1,RU4,PROVED,LeanMasterReferenceUncertaintyV1,RU4_same_target_error_composition,Lean,"Four errors compose only through SameTargetScoreChain"
1,RU5,PROVED,LeanMasterReferenceUncertaintyV1,RU5_composed_reference_uncertainty_MASTER,Lean,"Composed score coverage feeds frozen FULLY_INSTANTIATED_OPERATIONAL_MASTER"
2,D6-S1,PROVED,LeanD6SharpnessV1,S1_D6_approximation_constant_sharp,Lean+exact rational search,"Universal approximation multiplier cannot be reduced; failure already at m=2"
2,D6-S2,IMPROVED_BOUND_CANDIDATE,LeanD6SharpnessV1,,exact rational search,"No saturation of 2(m-1)delta; best observed was one quarter of current bound; candidate (m-1)delta/2 remains unproved"
2,D6-S3,OPEN,LeanD6SharpnessV1,,exact rational search,"No family jointly saturating approximation and decision constants found"
3,D6-Q1,PROVED,LeanD6WeightedInteractionV1,Q1_coordinate_specific_pointwise_bound;Q1_product_coordinate_specific_bound,Lean,"Coordinate-specific telescoping coefficient sum"
3,D6-Q2,PROVED,LeanD6WeightedInteractionV1,Q2_q_averaged_absolute_uniform_bound;Q2_q_averaged_absolute_scalar_uniform_bound,Lean,"q-averaged absolute hybrid mixed differences give pointwise and finite scalar-uniform bounds"
3,D6-Q3,PROVED,LeanD6WeightedInteractionV1,Q3_signed_average_bound;signed_le_absolute_telescoping,Lean,"Signed average is safe for the exact hybrid terms from the V4 identity"
3,D6-Q4,PROVED,LeanD6WeightedInteractionV1,Q4_distributional_residual_bound,Lean,"Distributional q-mean absolute approximation bound"
3,D6-Q5,PROVED_CONDITIONAL,LeanD6WeightedInteractionV1,Q5_distributional_decision_regret,Lean,"Requires surrogate optimality for the separately typed q-L1 objective"
4,QN1,PROVED,LeanQueryRepresentationNecessityV1,QN1_same_summary_rule_implies_common_good,Lean,"Same summary and one epsilon-optimal rule imply common good decision"
4,QN2,PROVED,LeanQueryRepresentationNecessityV1,QN2_disjoint_good_sets_force_representation_separation,Lean,"Disjoint good sets force summary separation"
4,QN3,PROVED,LeanQueryRepresentationNecessityV1,QN3_distinct_unique_subset_optima_have_disjoint_good_sets,Lean,"Subset-selection unique optima plus margin instantiate separation"
4,QN4,PROVED,LeanQueryRepresentationNecessityV1,QN4_uniform_fiber_optimality_requires_common_good_decision;QN4_common_good_decision_is_sufficient_on_fiber,Lean,"Uniform fiber rule iff direction represented by a common good decision"
5,RI1,PROVED,LeanReferenceIdentifiabilityV1,RI1_observed_source_indistinguishable,Lean,"Smallest 2x2 source/complement witness"
5,RI2,PROVED,LeanReferenceIdentifiabilityV1,RI2_indistinguishable_kernels_different_chi;RI2_downstream_top1_changes,Lean,"Indistinguishable observed row gives chi 0 vs 1 and reverses unique Top-1"
6,FCOV-algebra,PROVED,LeanFunctionalCovarianceDesignV1,FCOV1_D_error_uses_w;FCOV2_stable_extrema_C_uses_unit_contrast;FCOV3_diagonal_reduction,Lean,"D coefficient w; stable-C unit contrast; diagonal reduction"
6,FCOV-witness,PROVED,LeanFunctionalCovarianceDesignV1,FCOV_design_misranking_witness,Lean,"Two PSD Fin-2 designs reverse diagonal-only versus full-covariance ranking"
7,Structural-approx-weak,KILLED,, ,106130-world exact search,"Weak adjacent defect has 711 zero-defect positive-regret failures"
7,Structural-approx-allopt,OPEN,, ,106130-world exact search,"Candidate best-chain regret <= m*all-optimal-extension defect survived selectedRadius corpus; specialized proof absent"
7,Structural-complexity-counts,PROVED,LeanStructuralNegativeTaxonomyV1,SRALG_subset_state_count;SRALG_ranking_search_count,Lean,"Subset DP has 2^m states while full-ranking enumeration has m! candidates"
7,Structural-local-trap-predictor,KILLED,, ,106130-world exact search,"3733 false positives and 2629 false negatives"
7,Structural-negative-taxonomy,PROVED,LeanStructuralNegativeTaxonomyV1,STAX_actual_support_radius_three_way_taxonomy,Lean,"Three actual selectedRadius witnesses W1/W2/W3"
